id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month;Random
20168;https://www.airbnb.com/rooms/20168;Studio with private bathroom in the centre 1;59484;Alexander;f;Centrum-Oost;Private room in townhouse;Private room;1 private bath;1.0;1.0;"[""Wifi"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""TV"", ""Heating"", ""Refrigerator"", ""Free street parking"", ""Smoke alarm""]";236.0;339;2010-03-02;2020-04-09;89;10.0;10.0;10.0;10.0;10.0;9.0;2.58;0
27886;https://www.airbnb.com/rooms/27886;Romantic, stylish B&B houseboat in canal district;97647;Flip;t;Centrum-West;Private room in houseboat;Private room;1.5 baths;1.0;1.0;"[""Carbon monoxide alarm"", ""Private living room"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Patio or balcony"", ""Private entrance"", ""TV"", ""Wifi"", ""Smart lock"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Lake access"", ""Long term stays allowed"", ""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Breakfast""]";135.0;219;2012-01-09;2020-07-25;99;10.0;10.0;10.0;10.0;10.0;10.0;2.01;0
28871;https://www.airbnb.com/rooms/28871;Comfortable double room;124245;Edwin;t;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Wifi"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Host greets you"", ""Lock on bedroom door"", ""Shampoo"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Essentials"", ""Dryer"", ""Hair dryer"", ""Heating"", ""Refrigerator"", ""Smoke alarm""]";75.0;336;2010-08-22;2020-09-20;97;10.0;10.0;10.0;10.0;10.0;10.0;2.68;0
29051;https://www.airbnb.com/rooms/29051;Comfortable single room;124245;Edwin;t;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Coffee maker"", ""Host greets you"", ""Hair dryer"", ""Shampoo"", ""Hangers"", ""Bed linens"", ""Heating"", ""Lock on bedroom door"", ""Wifi"", ""Shower gel"", ""Essentials"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Refrigerator"", ""Hot water"", ""Private entrance""]";55.0;481;2011-03-16;2020-08-28;95;10.0;10.0;10.0;10.0;10.0;9.0;4.05;0
31080;https://www.airbnb.com/rooms/31080;2-story apartment + rooftop terrace;133488;Nienke;f;Zuid;Entire apartment;Entire home/apt;1 bath;3.0;3.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Fire extinguisher"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Dishwasher"", ""Host greets you"", ""Dryer"", ""Essentials"", ""Heating"", ""Washer""]";219.0;32;2011-08-06;2017-10-16;95;9.0;10.0;10.0;10.0;9.0;9.0;0.28;0
41125;https://www.airbnb.com/rooms/41125;Amsterdam Center Entire Apartment;178515;Fatih;t;Centrum-West;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Microwave"", ""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Keypad"", ""Washer""]";160.0;89;2010-11-25;2020-02-10;96;10.0;10.0;10.0;10.0;10.0;9.0;0.73;0
43109;https://www.airbnb.com/rooms/43109;Oasis in the middle of Amsterdam;188098;Aukje;f;Centrum-West;Entire apartment;Entire home/apt;1 bath;2.0;4.0;"[""Wifi"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Indoor fireplace"", ""Washer""]";211.0;60;2019-10-23;2020-03-07;98;10.0;7.0;9.0;10.0;10.0;9.0;4.31;0
46386;https://www.airbnb.com/rooms/46386;Cozy loft in central Amsterdam;207342;Joost;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Oven"", ""EV charger"", ""Patio or balcony"", ""Hangers"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Cooking basics"", ""Dishes and silverware"", ""Refrigerator"", ""Smoke alarm"", ""Stove""]";150.0;3;2010-09-16;2018-01-03;93;10.0;9.0;9.0;9.0;8.0;8.0;0.02;0
50515;https://www.airbnb.com/rooms/50515;Family Home (No drugs, smoking or parties);231864;Karin;f;Bos en Lommer;Entire townhouse;Entire home/apt;1 bath;3.0;3.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Fire extinguisher"", ""Shampoo"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Kitchen"", ""TV"", ""Washer"", ""Smoke alarm""]";115.0;17;2014-04-17;2020-02-20;95;10.0;10.0;10.0;10.0;9.0;10.0;0.21;0
52490;https://www.airbnb.com/rooms/52490;Amsterdam Aqua;185836;VictorLuke;f;Oostelijk Havengebied - Indische Buurt;Private room in apartment;Private room;1.5 shared baths;1.0;1.0;"[""Wifi"", ""Iron"", ""Microwave"", ""Hot water"", ""Dishwasher"", ""Coffee maker"", ""Host greets you"", ""Hangers"", ""Shampoo"", ""Patio or balcony"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Hair dryer"", ""TV"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Breakfast""]";75.0;102;2010-11-03;2020-01-01;92;10.0;10.0;10.0;10.0;9.0;9.0;0.83;0
