Год	GDP
2009	8334,63
2009	9244,83
2009	10411,33
2009	10816,42
2010	9995,76
2010	10977,04
2010	12086,46
2010	13249,28
2011	13028,84
2011	14481,14
2011	15805,58
2011	16966,97
2012	15182,99
2012	16472,22
2012	17733,54
2012	18775,14
2013	16375,26
2013	17538,84
2013	19058,11
2013	20161,68
2014	17301,59
2014	19051,94
2014	20541,89
2014	22163,06
2015	18454,75
2015	19759,67
2015	21814,91
2015	23064,97
2016	18950,22
2016	20558,18
2016	22339,96
2016	24165,84
2017	20644,07
2017	21971,9
2017	23795,48
2017	25689,9
2018	22438,1
2018	24823,81
2018	27127,18
2018	29486,71
