<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ВТБ ао	M	суббота, 1 декабря 2012 г.	0	0,05	423 765 060 000,00 _
ВТБ ао	M	вторник, 1 января 2013 г.	0	0,06	620 659 410 000,00 _
ВТБ ао	M	пятница, 1 февраля 2013 г.	0	0,06	956 736 250 000,00 _
ВТБ ао	M	пятница, 1 марта 2013 г.	0	0,05	684 089 840 000,00 _
ВТБ ао	M	понедельник, 1 апреля 2013 г.	0	0,05	1 203 587 690 000,00 _
ВТБ ао	M	среда, 1 мая 2013 г.	0	0,05	909 928 850 000,00 _
ВТБ ао	M	суббота, 1 июня 2013 г.	0	0,05	773 944 750 000,00 _
ВТБ ао	M	понедельник, 1 июля 2013 г.	0	0,05	689 989 310 000,00 _
ВТБ ао	M	четверг, 1 августа 2013 г.	0	0,04	424 102 620 000,00 _
ВТБ ао	M	воскресенье, 1 сентября 2013 г.	0	0,04	770 174 060 000,00 _
ВТБ ао	M	вторник, 1 октября 2013 г.	0	0,04	1 095 103 330 000,00 _
ВТБ ао	M	пятница, 1 ноября 2013 г.	0	0,05	1 117 892 430 000,00 _
ВТБ ао	M	воскресенье, 1 декабря 2013 г.	0	0,05	883 378 010 000,00 _
ВТБ ао	M	среда, 1 января 2014 г.	0	0,05	562 228 330 000,00 _
ВТБ ао	M	суббота, 1 февраля 2014 г.	0	0,04	531 533 830 000,00 _
ВТБ ао	M	суббота, 1 марта 2014 г.	0	0,04	1 718 001 780 000,00 _
ВТБ ао	M	вторник, 1 апреля 2014 г.	0	0,04	1 581 562 680 000,00 _
ВТБ ао	M	четверг, 1 мая 2014 г.	0	0,05	1 337 467 810 000,00 _
ВТБ ао	M	воскресенье, 1 июня 2014 г.	0	0,04	1 219 984 610 000,00 _
ВТБ ао	M	вторник, 1 июля 2014 г.	0	0,04	1 064 257 460 000,00 _
ВТБ ао	M	пятница, 1 августа 2014 г.	0	0,04	699 479 420 000,00 _
