age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,y
30.0,0.0,1,0.0,0,0.0684554569737319,0,0,1.0,19,10,0.0248262164846077,1,0.0,0
33.0,1.0,1,1.0,0,0.1087502181178776,1,1,1.0,11,5,0.0714995034756703,1,0.3899082568807339,0
35.0,2.0,0,2.0,0,0.0625897638957866,1,0,1.0,16,4,0.0599139357828533,1,0.3795871559633027,0
30.0,2.0,1,2.0,0,0.0642810163621964,1,1,,3,6,0.0645481628599801,4,0.0,0
59.0,3.0,1,1.0,0,0.0444692017556811,1,0,,5,5,0.0734856007944389,1,0.0,0
35.0,2.0,0,2.0,0,0.0544959128065395,0,0,1.0,23,2,0.0453492221118834,2,0.2029816513761468,0
36.0,4.0,1,2.0,0,0.0485899518127273,1,0,1.0,14,5,0.1115524660708374,1,0.3795871559633027,0
39.0,5.0,1,1.0,0,0.0464423296331592,1,0,1.0,6,5,0.0486593843098311,2,0.0,0
41.0,6.0,1,2.0,0,0.0474356048912095,1,0,,14,5,0.0175438596491228,2,0.0,0
43.0,1.0,1,0.0,0,0.0432880095569187,1,1,1.0,17,4,0.1022840119165839,1,0.1697247706422018,0
39.0,1.0,1,1.0,0,0.1702930162011248,1,0,,20,5,0.0890433631247931,1,0.0,0
43.0,7.0,1,1.0,0,0.0480127783519684,1,0,1.0,17,4,0.0360807679576299,2,0.0,0
36.0,5.0,1,2.0,0,0.0593549079878122,0,0,1.0,13,8,0.1072492552135054,2,0.0,0
,8.0,0,1.0,0,0.0512073663440759,0,0,1.0,30,4,0.0850711684872558,1,0.0,1
31.0,3.0,1,1.0,0,0.0493013516597092,1,1,1.0,29,1,0.0281363786825554,1,0.2775229357798165,0
40.0,2.0,1,2.0,0,0.0470731936484074,0,1,1.0,29,8,0.0612380006620324,2,0.0,0
56.0,5.0,1,1.0,0,0.0991396088643105,0,0,1.0,27,8,0.0777888116517709,5,0.0,0
37.0,7.0,0,2.0,0,0.075569455443551,1,0,1.0,20,4,0.0364117841774246,1,0.1754587155963302,0
25.0,3.0,0,0.0,0,0.0415027986201527,1,0,,23,5,0.0814299900695134,1,0.0,0
31.0,1.0,1,1.0,0,0.0462409900538247,0,0,1.0,7,7,0.0476663356504468,1,0.1754587155963302,0
38.0,2.0,1,,0,0.0444692017556811,1,0,1.0,18,11,0.0304534922211188,2,0.0,0
42.0,2.0,1,2.0,0,0.0446839639736379,0,0,1.0,19,11,0.0450182058920887,3,0.0,0
44.0,1.0,0,1.0,0,0.0458920014496449,0,0,,12,6,0.0347567030784508,2,0.0,0
44.0,6.0,1,1.0,0,0.045717507147555,0,0,1.0,7,7,0.0400529625951671,2,0.0,0
26.0,9.0,1,2.0,0,0.0517576945275902,0,0,1.0,30,1,0.054617676266137,3,0.0,0
41.0,2.0,1,2.0,0,0.1234345847706742,0,0,1.0,20,11,0.058920887123469,2,0.0,0
55.0,3.0,1,0.0,0,0.0528851961718634,1,0,,5,5,0.0804369414101291,1,0.0,0
67.0,10.0,1,,0,0.0538113582368021,0,0,0.0,17,8,0.0380668652763985,1,0.1215596330275229,0
56.0,4.0,1,1.0,0,0.0549925504355646,0,1,1.0,30,7,0.0479973518702416,2,0.0,0
53.0,7.0,1,1.0,0,0.0458785788110226,0,1,1.0,21,8,0.0231711353856338,2,0.0,0
68.0,10.0,1,1.0,0,0.1006966349444973,0,0,0.0,14,7,0.2955974842767295,2,0.0,1
31.0,5.0,1,1.0,0,0.0467644729600945,0,0,1.0,27,8,0.0254882489241972,3,0.0,0
59.0,2.0,1,1.0,0,0.0450329525778177,0,0,1.0,21,11,0.0119165839126117,1,0.0,0
32.0,2.0,0,2.0,0,0.0785090133018348,1,0,1.0,26,8,0.3157894736842105,6,0.0,1
49.0,5.0,1,2.0,0,0.061046160454222,0,0,1.0,13,8,0.1158556769281694,3,0.0,1
42.0,7.0,1,1.0,0,0.0687776003006671,1,0,,14,5,0.0483283680900364,1,0.0,0
,10.0,1,0.0,0,0.0475429860001879,0,0,0.0,22,10,0.0307845084409136,1,0.0,1
32.0,3.0,1,1.0,0,0.0725090938376666,1,0,1.0,14,11,0.0423700761337305,1,0.0,1
33.0,2.0,1,1.0,0,0.0972872847344331,1,0,1.0,6,5,0.2519033432638199,1,0.393348623853211,1
,1.0,0,2.0,0,0.0493416195755761,1,0,,30,5,0.0039721946375372,18,0.0,0
38.0,2.0,0,2.0,0,0.2051516087032388,1,0,,17,11,0.2002648129758358,2,0.1169724770642201,0
36.0,2.0,0,2.0,0,0.0518919209138132,0,0,1.0,11,8,0.0337636544190665,2,0.0,0
52.0,3.0,1,1.0,0,0.0594622890967906,1,0,1.0,13,5,0.1194968553459119,1,0.0,0
32.0,5.0,1,2.0,0,0.049784566650112,1,0,1.0,13,5,0.0665342601787487,3,0.0,0
32.0,5.0,0,2.0,0,0.0740526972792311,1,0,1.0,21,11,0.0023171135385633,4,0.0,0
34.0,2.0,0,2.0,0,0.056173742634327,1,0,,7,5,0.0334326381992717,2,0.0,0
55.0,3.0,1,0.0,0,0.0464154843559146,0,0,0.0,2,2,0.0182058920887123,3,0.0068807339449541,0
26.0,3.0,1,0.0,0,0.0444692017556811,1,0,,21,5,0.1393578285335981,1,0.0,0
32.0,6.0,0,0.0,1,0.0330733815653481,1,1,1.0,4,2,0.066203243958954,1,0.0,0
61.0,7.0,1,,0,0.1066025959383095,1,0,1.0,27,1,0.0585898709036742,1,0.1066513761467889,1
45.0,3.0,1,0.0,0,0.0557979087529026,0,0,,5,6,0.3356504468718967,3,0.0,1
37.0,5.0,0,1.0,0,0.0475295633615656,1,0,1.0,20,8,0.5746441575637207,2,0.0,0
38.0,5.0,0,1.0,0,0.0451403336867961,0,0,1.0,29,8,0.0311155246607083,2,0.0,0
34.0,5.0,1,2.0,0,0.0651266425954014,1,0,1.0,15,6,0.1446540880503144,1,0.0653669724770642,1
53.0,3.0,1,1.0,0,0.0744151085220332,1,0,1.0,14,7,0.0887123469049983,3,0.0,0
48.0,7.0,1,1.0,0,0.0855961664944094,1,0,0.0,15,7,0.0513075140681893,2,0.0,0
57.0,2.0,1,1.0,0,0.0455698581227097,0,1,0.0,4,2,0.0450182058920887,1,0.0,0
33.0,4.0,0,2.0,0,0.0733949879867384,0,0,1.0,17,11,0.096325719960278,1,0.0,0
36.0,10.0,0,1.0,0,0.0458248882565334,1,1,,26,5,0.1026150281363786,1,0.0,0
54.0,5.0,1,1.0,0,0.0549925504355646,1,1,,15,5,0.1903343263819927,1,0.0,0
41.0,3.0,1,0.0,0,0.0375431202265741,0,1,0.0,8,7,0.1820589208871234,3,0.0,0
63.0,10.0,1,1.0,0,0.0500395967839357,1,0,1.0,7,10,0.1055941741145316,1,0.0,0
48.0,2.0,1,2.0,0,0.1234882753251634,0,0,1.0,13,8,0.0738166170142337,2,0.0,0
48.0,1.0,1,1.0,0,0.0626568770888981,0,0,1.0,4,7,0.04303210857332,2,0.0,0
56.0,7.0,1,1.0,0,0.2709493832297553,0,0,1.0,7,10,0.0724925521350546,1,0.0,0
51.0,3.0,1,1.0,0,0.0471939973960081,1,0,1.0,8,5,0.04303210857332,1,0.1961009174311926,0
31.0,1.0,1,1.0,0,0.0490060536100186,1,0,1.0,28,1,0.0499834491890102,1,0.0,0
29.0,5.0,1,1.0,0,0.0504288533039824,1,0,1.0,21,7,0.041708043694141,4,0.0,0
41.0,2.0,1,1.0,0,0.0444692017556811,0,1,1.0,7,7,0.2072161535915259,3,0.0,0
32.0,5.0,0,2.0,0,0.0493013516597092,0,0,1.0,19,11,0.0529625951671631,2,0.0,0
37.0,2.0,1,2.0,0,0.0444692017556811,0,0,1.0,16,7,0.0873882820258192,2,0.2098623853211009,1
42.0,6.0,1,2.0,1,0.0444960470329257,1,0,,5,5,0.1244620986428335,1,0.0,0
31.0,2.0,0,2.0,0,0.1283338478678138,1,0,,9,5,0.0496524329692154,2,0.0,0
41.0,1.0,1,2.0,0,0.0499993288680688,1,0,,3,6,0.0496524329692154,5,0.0,0
56.0,10.0,1,1.0,0,0.0490865894417524,1,0,,15,5,0.071830519695465,1,0.0,0
54.0,2.0,1,2.0,0,0.0877169433967329,0,0,1.0,14,8,0.0208540218470705,2,0.0,0
41.0,3.0,1,1.0,0,0.0468047408759614,1,0,1.0,14,5,0.1201588877855014,2,0.341743119266055,0
40.0,5.0,0,1.0,0,0.0524019811814606,0,1,1.0,14,8,0.0274743462429659,6,0.0,0
50.0,3.0,1,0.0,0,0.0496771855411336,0,0,1.0,5,2,0.2307183051969546,1,0.0,0
40.0,0.0,1,1.0,0,0.0474087596139649,1,0,1.0,17,11,0.066203243958954,2,0.2259174311926605,0
27.0,7.0,1,1.0,0,0.0505228117743386,1,0,1.0,16,7,0.2144985104270109,1,0.0,1
60.0,10.0,1,0.0,0,0.0445363149487926,0,0,1.0,26,8,0.0195299569678914,2,0.0,0
28.0,7.0,0,1.0,0,0.0468450087918283,1,1,1.0,6,5,0.0483283680900364,1,0.0,0
52.0,1.0,1,1.0,0,0.0532878753305324,0,0,0.0,7,7,0.1304203905991393,2,0.5286697247706422,1
37.0,2.0,1,2.0,0,0.0621199715440061,0,0,1.0,30,6,0.0728235683548493,1,0.0,1
51.0,3.0,1,0.0,0,0.0641467899759734,1,0,,7,5,0.1330685203574975,2,0.0,0
41.0,5.0,0,1.0,0,0.0562677011046831,0,1,1.0,7,7,0.0185369083085071,4,0.0,0
35.0,3.0,0,0.0,0,0.0484020348720151,1,0,,30,5,0.171135385633896,2,0.0,0
38.0,7.0,1,1.0,0,0.0501604005315364,1,0,1.0,17,4,0.0910294604435617,1,0.0,0
34.0,3.0,1,1.0,0,0.0690460530731131,1,0,,20,5,0.0658722277391592,2,0.0,0
39.0,3.0,1,0.0,0,0.0459591146427564,0,0,1.0,18,11,0.0652101952995696,2,0.0,0
34.0,3.0,1,0.0,0,0.0505765023288278,1,0,,20,6,0.1218139688844753,3,0.0,0
27.0,1.0,0,1.0,0,0.0418517872243325,1,0,1.0,18,5,0.1281032770605759,1,0.0,1
32.0,2.0,0,2.0,0,0.0930054630139192,0,0,1.0,14,8,0.0532936113869579,2,0.0,0
57.0,3.0,1,1.0,0,0.2336344478597602,0,0,1.0,11,8,0.0751406818934127,5,0.0,0
41.0,,0,2.0,0,0.0655024764768258,0,0,1.0,1,7,0.0950016550810989,2,0.0,0
